MBD_Temp_ID,Latitude,Longitude
TEMP000054,51.6080761,-0.2901494
TEMP000055,51.5419957,-0.4014437
TEMP000056,51.524368,-0.2014221
TEMP000057,51.3882133,-0.4521301
TEMP000058,51.5150433,-0.1274311
TEMP000059,51.4907894,-0.1430623
TEMP000060,51.4330869,-0.5139146
TEMP000061,51.4692074,-0.513099
TEMP000062,51.5218278,-0.046609
TEMP000063,51.516814,-0.0418042
TEMP000064,51.410376,-0.4441918
TEMP000065,51.5999374,-0.0761623
TEMP000066,51.54222,-0.2666039
TEMP000067,51.1409373,-0.4862872
TEMP000068,53.8297477,-0.1128907
TEMP000069,53.8441219,-0.4953016
TEMP000070,54.0539049,-0.318134
TEMP000071,53.7827961,-0.4109628
TEMP000072,53.8696381,-0.9506206
TEMP000073,53.8707234,-0.7802584
TEMP000074,53.9656879,-0.4420833
TEMP000075,53.8384714,-1.0972912
TEMP000076,53.9004337,-1.0898696
TEMP000077,54.0162531,-0.3913946
TEMP000078,53.8611747,-0.813983
TEMP000079,53.8160633,-0.3443764
TEMP000080,54.2017004,-0.632558
TEMP000081,54.124277,-0.2694432
TEMP000082,54.1255585,-0.2999309
TEMP000083,53.9396934,-0.1886473
TEMP000084,53.8363398,-0.1277248
TEMP000085,53.8215576,-0.2256607
TEMP000086,53.7416825,-0.5717134
TEMP000087,53.8733655,-0.3938321
TEMP000088,54.2032096,-0.346058
TEMP000089,54.0383892,-0.2393535
TEMP000090,53.8661321,-0.194633
TEMP000091,53.9068172,-0.1528568
TEMP000092,54.0296704,-0.3206387
TEMP000093,53.7748298,-0.1669292
TEMP000094,53.8116403,-0.618213
TEMP000095,53.7948096,-0.9251614
TEMP000096,54.1601846,-0.2694207
TEMP000097,53.835464,-1.0747216
TEMP000098,53.8155512,-0.0694521
TEMP000099,54.039532,-0.3756922
TEMP000100,53.8873296,-0.9182192
TEMP000101,54.1064602,-0.415433
TEMP000102,53.727148,-0.1936125
TEMP000103,53.7836017,-0.2120831
TEMP000104,54.0689696,-0.5803772
TEMP000105,53.85698,-0.7548055
TEMP000106,53.838951,-0.9361901
TEMP000107,50.9778767,-0.6965017
TEMP000108,51.1599737,-0.9659179
TEMP000109,50.7739111,-1.6193912
TEMP000110,50.9703979,-1.345021
TEMP000111,50.7828384,-1.5600719
TEMP000112,50.913318,-1.7899702
TEMP000113,50.8715412,-1.1429116
TEMP000114,51.0481997,-1.1263497
TEMP000115,50.8170417,-1.5782619
TEMP000116,51.1508294,-1.1729823
TEMP000117,51.3232499,-1.0495542
TEMP000118,51.1688249,-1.3512171
TEMP000119,51.2054719,-1.5745813
TEMP000120,51.1580855,-0.8110301
TEMP000121,50.9043648,-1.0659002
TEMP000122,50.9851672,-1.1271442
TEMP000123,50.8521487,-0.9803414
TEMP000124,51.1124648,-0.9835036
TEMP000125,51.180246,-0.9205177
TEMP000126,50.9383558,-1.0969399
TEMP000127,51.193827,-0.906103
TEMP000128,50.9188021,-0.9443821
TEMP000129,51.2330786,-0.877578
TEMP000130,51.0880866,-1.2014092
TEMP000131,51.2194797,-0.9434971
TEMP000132,51.2562306,-1.0160999
TEMP000133,51.0931084,-1.2648455
TEMP000134,50.9780537,-1.1300027
TEMP000135,50.8983375,-1.6011682
TEMP000136,51.0404336,-1.5365751
TEMP000137,50.7806737,-1.8594341
TEMP000138,50.7540092,-1.5610817
TEMP000139,50.9821064,-1.6094654
TEMP000140,50.799281,-1.1021481
TEMP000141,50.9348848,-1.140974
TEMP000142,51.0272942,-1.4672104
